product_id,product_name,category,description,price,created_at
101,Wireless Headphones,Electronics,Noise-cancelling wireless headphones,49.99,2022-12-01
102,Smartphone,Electronics,Latest model smartphone with high-resolution camera,129.99,2022-12-02
103,T-Shirt,Clothing,Cotton t-shirt available in multiple colors,19.99,2022-12-03
104,Laptop,Electronics,15-inch laptop with 16GB RAM and 512GB SSD,199.99,2022-12-04
105,Running Shoes,Footwear,Lightweight running shoes with cushioned soles,79.99,2022-12-05
106,Fitness Tracker,Electronics,Water-resistant fitness tracker with heart rate monitor,149.99,2022-12-06
107,Book,Books,Bestselling fiction novel,24.99,2022-12-07
108,Gaming Console,Electronics,Latest gaming console with 1TB storage,299.99,2022-12-08
109,Backpack,Accessories,Durable backpack with multiple compartments,34.99,2022-12-09
110,Sunglasses,Accessories,UV-protected sunglasses,89.99,2022-12-10 